   Array length             std::binary_search          compromise_search low          compromise_search mid         compromise_search high                      std::find
            100                    0.000267000                    0.000289000                    0.000278000                    0.000432000                    0.000700000
            200                    0.000273000                    0.000341000                    0.000361000                    0.000790000                    0.001202000
            300                    0.000263000                    0.000338000                    0.000364000                    0.000887000                    0.001548000
            400                    0.000229000                    0.000295000                    0.000392000                    0.001075000                    0.002047000
            500                    0.000241000                    0.000316000                    0.000466000                    0.001299000                    0.002598000
            600                    0.000246000                    0.000324000                    0.000531000                    0.001737000                    0.003307000
            700                    0.000246000                    0.000344000                    0.000615000                    0.001830000                    0.003843000
            800                    0.000286000                    0.000387000                    0.000662000                    0.002128000                    0.004034000
            900                    0.000251000                    0.000336000                    0.000695000                    0.002265000                    0.004410000
           1000                    0.000261000                    0.000352000                    0.000809000                    0.002540000                    0.004801000
           1100                    0.000256000                    0.000346000                    0.000819000                    0.002726000                    0.005251000
           1200                    0.000260000                    0.000427000                    0.001069000                    0.003092000                    0.005833000
           1300                    0.000261000                    0.000357000                    0.000899000                    0.003191000                    0.006470000
           1400                    0.000277000                    0.000384000                    0.001107000                    0.003809000                    0.007223000
           1500                    0.000283000                    0.000391000                    0.001115000                    0.003842000                    0.007465000
           1600                    0.000282000                    0.000392000                    0.001163000                    0.004131000                    0.008600000
           1700                    0.000285000                    0.000397000                    0.001251000                    0.004472000                    0.008548000
           1800                    0.000350000                    0.000426000                    0.001317000                    0.004611000                    0.009265000
           1900                    0.000279000                    0.000391000                    0.001445000                    0.005020000                    0.009531000
           2000                    0.000284000                    0.000385000                    0.001396000                    0.004927000                    0.009925000
           2100                    0.000309000                    0.000393000                    0.001435000                    0.005258000                    0.010139000
           2200                    0.000283000                    0.000398000                    0.001523000                    0.005493000                    0.010717000
           2300                    0.000288000                    0.000401000                    0.001570000                    0.005785000                    0.011023000
           2400                    0.000292000                    0.000400000                    0.001607000                    0.006127000                    0.012058000
           2500                    0.000289000                    0.000403000                    0.001673000                    0.006213000                    0.012335000
