     small_size             std::binary_search              compromise_search
              0                    0.000290000                    0.000407000
              1                    0.000285000                    0.000401000
              2                    0.000284000                    0.000401000
              3                    0.000316000                    0.000397000
              4                    0.000284000                    0.000366000
              5                    0.000261000                    0.000359000
              6                    0.000261000                    0.000378000
              7                    0.000260000                    0.000346000
              8                    0.000261000                    0.000344000
              9                    0.000260000                    0.000347000
             10                    0.000262000                    0.000351000
             11                    0.000262000                    0.000348000
             12                    0.000260000                    0.000386000
             13                    0.000302000                    0.000362000
             14                    0.000262000                    0.000353000
             15                    0.000261000                    0.000356000
             16                    0.000259000                    0.000356000
             17                    0.000260000                    0.000354000
             18                    0.000261000                    0.000358000
             19                    0.000259000                    0.000355000
             20                    0.000261000                    0.000353000
             21                    0.000259000                    0.000352000
             22                    0.000268000                    0.000356000
             23                    0.000285000                    0.000367000
             24                    0.000260000                    0.000355000
             25                    0.000260000                    0.000356000
             26                    0.000259000                    0.000350000
             27                    0.000259000                    0.000353000
             28                    0.000259000                    0.000373000
             29                    0.000259000                    0.000354000
             30                    0.000260000                    0.000422000
             31                    0.000268000                    0.000435000
             32                    0.000283000                    0.000481000
             33                    0.000283000                    0.000468000
             34                    0.000311000                    0.000475000
             35                    0.000286000                    0.000443000
             36                    0.000295000                    0.000422000
             37                    0.000283000                    0.000429000
             38                    0.000309000                    0.000436000
             39                    0.000270000                    0.000432000
             40                    0.000286000                    0.000421000
             41                    0.000285000                    0.000417000
             42                    0.000293000                    0.000422000
             43                    0.000273000                    0.000426000
             44                    0.000282000                    0.000414000
             45                    0.000281000                    0.000415000
             46                    0.000272000                    0.000429000
             47                    0.000260000                    0.000431000
             48                    0.000261000                    0.000428000
             49                    0.000273000                    0.000416000
             50                    0.000281000                    0.000420000
             51                    0.000295000                    0.000418000
             52                    0.000262000                    0.000419000
             53                    0.000260000                    0.000412000
             54                    0.000269000                    0.000408000
             55                    0.000276000                    0.000408000
             56                    0.000270000                    0.000394000
             57                    0.000259000                    0.000395000
             58                    0.000261000                    0.000396000
             59                    0.000263000                    0.000395000
             60                    0.000261000                    0.000398000
             61                    0.000261000                    0.000453000
             62                    0.000260000                    0.000504000
             63                    0.000259000                    0.000536000
             64                    0.000260000                    0.000508000
             65                    0.000260000                    0.000512000
             66                    0.000262000                    0.000514000
             67                    0.000270000                    0.000503000
             68                    0.000262000                    0.000509000
             69                    0.000261000                    0.000510000
             70                    0.000262000                    0.000505000
             71                    0.000259000                    0.000518000
             72                    0.000260000                    0.000515000
             73                    0.000259000                    0.000742000
             74                    0.000345000                    0.000581000
             75                    0.000267000                    0.000543000
             76                    0.000266000                    0.000525000
             77                    0.000268000                    0.000522000
             78                    0.000281000                    0.000540000
             79                    0.000272000                    0.000524000
             80                    0.000270000                    0.000526000
             81                    0.000269000                    0.000535000
             82                    0.000268000                    0.000537000
             83                    0.000268000                    0.000520000
             84                    0.000270000                    0.000527000
             85                    0.000268000                    0.000532000
             86                    0.000269000                    0.000526000
             87                    0.000274000                    0.000531000
             88                    0.000271000                    0.000526000
             89                    0.000270000                    0.000553000
             90                    0.000272000                    0.000531000
             91                    0.000272000                    0.000525000
             92                    0.000266000                    0.000540000
             93                    0.000270000                    0.000532000
             94                    0.000273000                    0.000528000
             95                    0.000267000                    0.000531000
             96                    0.000271000                    0.000585000
             97                    0.000277000                    0.000525000
             98                    0.000268000                    0.000525000
             99                    0.000269000                    0.000520000
            100                    0.000267000                    0.000524000
