   Array length   Seconds per insert
           1000           0.00000138
           2000           0.00000358
           3000           0.00000576
           4000           0.00000781
           5000           0.00000972
           6000           0.00001175
           7000           0.00001393
           8000           0.00001659
           9000           0.00001873
          10000           0.00002159
          11000           0.00002306
          12000           0.00002603
          13000           0.00002720
          14000           0.00002976
          15000           0.00003200
          16000           0.00003380
          17000           0.00003685
          18000           0.00003983
          19000           0.00004063
          20000           0.00004286
          21000           0.00004626
          22000           0.00004832
          23000           0.00004958
          24000           0.00005323
          25000           0.00005383
          26000           0.00005569
          27000           0.00005815
          28000           0.00006025
          29000           0.00006473
          30000           0.00006531
          31000           0.00006769
          32000           0.00006959
          33000           0.00007223
          34000           0.00007473
          35000           0.00007634
          36000           0.00007813
          37000           0.00008010
          38000           0.00008367
          39000           0.00008449
          40000           0.00008763
          41000           0.00008921
          42000           0.00009288
          43000           0.00009401
          44000           0.00009695
          45000           0.00009960
          46000           0.00010069
          47000           0.00010303
          48000           0.00010474
          49000           0.00010677
          50000           0.00011321
          51000           0.00011189
          52000           0.00011349
          53000           0.00011664
          54000           0.00011930
          55000           0.00011933
          56000           0.00012171
          57000           0.00012526
          58000           0.00012798
          59000           0.00012982
          60000           0.00013176
